"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"12","Pittsburgh Steelers (PIT)","1","2","0","0","0","0","0","1","8.0","8.0","87.9%"
"13","Kansas City Chiefs (KC)","1","3","0","1","0","0","0","1","8.0","8.0","87.9%"
"14","Arizona Cardinals (ARI)","3","0","2","2","0","0","0","1","8.0","8.0","9.7%"
"15","Baltimore Ravens (BAL)","3","2","0","1","0","0","0","1","6.0","6.0","73.2%"
"16","Detroit Lions (DET)","4","1","0","0","0","0","0","1","6.0","6.0","75.1%"
"17","San Francisco 49ers (SF)","2","2","0","0","0","0","0","1","5.0","5.0","81.1%"
"18","Green Bay Packers (GB)","4","0","0","0","0","0","0","1","4.0","4.0","35.9%"
"19","Las Vegas Raiders (LV)","1","1","0","0","0","0","0","1","4.0","4.0","3.3%"
"20","New York Giants (NYG)","5","0","0","0","0","0","0","1","4.0","4.0","19.3%"
"21","Los Angeles Chargers (LAC)","0","1","0","1","0","0","0","1","3.0","3.0","51.5%"
"22","Cleveland Browns (CLE)","3","0","0","0","0","0","0","1","3.0","3.0","34.4%"
"23","Miami Dolphins (MIA)","0","0","1","0","0","0","0","1","3.0","3.0","47.0%"
"24","New Orleans Saints (NO)","0","0","1","1","0","0","0","1","2.0","2.0","25.7%"
"25","Chicago Bears (CHI)","0","0","0","0","0","0","0","0","0","0","51.7%"
"26","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"27","Dallas Cowboys (DAL)","0","0","0","0","0","0","0","0","0","0","24.7%"
"28","Atlanta Falcons (ATL)","1","0","0","0","0","0","0","1","0.0","0.0","14.8%"
"29","Tampa Bay Buccaneers (TB)","2","0","1","0","0","0","0","1","0.0","0.0","36.1%"
"30","Tennessee Titans (TEN)","1","0","0","1","0","0","0","1","0.0","0.0","10.8%"
"31","New England Patriots (NE)","0","0","0","0","0","0","0","1","-1.0","-1.0","5.8%"
"32","New York Jets (NYJ)","1","0","0","0","0","0","0","1","-3.0","-3.0","70.6%"
""
""
"1","Detroit Lions (DET)","1","2","2","2","0","0","1","1","16.0","16.0","75.1%"
"2","Pittsburgh Steelers (PIT)","4","1","1","1","0","0","1","1","15.0","15.0","87.9%"
"3","Los Angeles Chargers (LAC)","5","0","0","0","0","0","0","1","12.0","12.0","51.5%"
"4","Houston Texans (HOU)","5","1","1","1","0","0","0","1","10.0","10.0","72.1%"
"5","Buffalo Bills (BUF)","1","1","1","0","0","0","0","1","9.0","9.0","55.2%"
"6","Kansas City Chiefs (KC)","5","0","1","1","0","0","0","1","8.0","8.0","87.9%"
"7","Denver Broncos (DEN)","2","2","0","0","0","0","0","1","7.0","7.0","74.4%"
"8","Atlanta Falcons (ATL)","0","2","1","2","0","0","0","1","6.0","6.0","14.8%"
"9","Philadelphia Eagles (PHI)","1","1","1","2","0","0","0","1","6.0","6.0","64.9%"
"10","Washington Commanders (WAS)","3","0","1","0","0","0","0","1","6.0","6.0","48.8%"
"11","San Francisco 49ers (SF)","2","2","0","2","0","0","0","1","6.0","6.0","81.1%"
"12","Los Angeles Rams (LAR)","3","0","0","0","0","1","0","1","6.0","6.0","13.2%"
"13","New York Giants (NYG)","4","0","1","1","0","0","0","1","6.0","6.0","19.3%"
"14","New Orleans Saints (NO)","3","0","0","1","0","1","0","1","5.0","5.0","25.7%"
"15","Green Bay Packers (GB)","1","1","1","1","0","0","0","1","5.0","5.0","35.9%"
"16","Carolina Panthers (CAR)","2","0","2","2","0","0","0","1","5.0","5.0","1.0%"
"17","Indianapolis Colts (IND)","2","0","1","1","0","0","0","1","4.0","4.0","8.1%"
"18","Tampa Bay Buccaneers (TB)","2","0","0","0","0","1","0","1","3.0","3.0","36.1%"
"19","Las Vegas Raiders (LV)","1","1","0","0","0","0","0","1","3.0","3.0","3.3%"
"20","Arizona Cardinals (ARI)","1","0","0","2","0","1","0","1","3.0","3.0","9.7%"
"21","Chicago Bears (CHI)","2","0","0","0","0","0","0","1","3.0","3.0","51.7%"
"22","Cleveland Browns (CLE)","3","0","0","0","0","0","0","1","3.0","3.0","34.4%"
"23","Baltimore Ravens (BAL)","2","0","1","1","0","0","0","1","3.0","3.0","73.2%"
"24","New York Jets (NYJ)","2","0","0","1","0","0","0","1","2.0","2.0","70.6%"
"25","Jacksonville Jaguars (JAC)","1","1","0","0","0","0","0","1","2.0","2.0","6.0%"
"26","Seattle Seahawks (SEA)","1","1","0","0","0","0","0","1","2.0","2.0","11.1%"
"27","New England Patriots (NE)","1","0","0","1","0","0","0","1","1.0","1.0","5.8%"
"28","Minnesota Vikings (MIN)","0","1","0","0","0","0","0","1","1.0","1.0","76.7%"
"29","Dallas Cowboys (DAL)","2","0","0","0","0","0","0","1","1.0","1.0","24.7%"
"30","Tennessee Titans (TEN)","4","0","0","2","0","0","0","1","0.0","0.0","10.8%"
"31","Miami Dolphins (MIA)","0","0","0","1","0","0","0","1","0.0","0.0","47.0%"
"32","Cincinnati Bengals (CIN)","0","0","0","0","0","0","0","1","-4.0","-4.0","20.4%"
""
""
"1","Los Angeles Rams (LAR)","7","3","0","0","1","0","0","1","22.0","22.0","13.2%"
"2","Los Angeles Chargers (LAC)","6","3","0","1","0","0","0","1","18.0","18.0","51.5%"
"3","Indianapolis Colts (IND)","4","2","1","1","1","0","0","1","16.0","16.0","8.1%"
"4","New York Jets (NYJ)","8","0","1","1","0","0","0","1","14.0","14.0","70.6%"
"5","Arizona Cardinals (ARI)","6","0","0","1","0","1","0","1","12.0","12.0","9.7%"
"6","Minnesota Vikings (MIN)","3","1","1","0","0","0","0","1","11.0","11.0","76.7%"
"7","Tennessee Titans (TEN)","4","2","1","1","0","0","0","1","11.0","11.0","10.8%"
"8","Cincinnati Bengals (CIN)","5","0","2","1","0","0","0","1","10.0","10.0","20.4%"
"9","Baltimore Ravens (BAL)","4","1","0","0","0","0","0","1","10.0","10.0","73.2%"
"10","Jacksonville Jaguars (JAC)","3","0","1","0","1","0","0","1","10.0","10.0","6.0%"
"11","Detroit Lions (DET)","0","1","0","0","1","0","0","1","9.0","9.0","75.1%"
"12","Philadelphia Eagles (PHI)","2","2","1","0","0","0","0","1","9.0","9.0","64.9%"
"13","Chicago Bears (CHI)","3","0","2","1","0","0","0","1","7.0","7.0","51.7%"
"14","Cleveland Browns (CLE)","6","0","0","0","0","0","0","1","6.0","6.0","34.4%"
"15","Tampa Bay Buccaneers (TB)","4","0","1","1","0","0","0","1","5.0","5.0","36.1%"
"16","Seattle Seahawks (SEA)","0","1","0","1","0","0","0","1","5.0","5.0","11.1%"
"17","Las Vegas Raiders (LV)","1","1","0","0","1","0","0","1","5.0","5.0","3.3%"
"18","Washington Commanders (WAS)","2","0","1","1","0","0","0","1","4.0","4.0","48.8%"
"19","Dallas Cowboys (DAL)","2","0","1","2","0","0","0","1","4.0","4.0","24.7%"
"20","New England Patriots (NE)","1","1","0","0","0","0","0","1","4.0","4.0","5.8%"
"21","New Orleans Saints (NO)","1","1","0","0","0","0","0","1","3.0","3.0","25.7%"
"22","Atlanta Falcons (ATL)","3","0","0","0","0","0","0","1","3.0","3.0","14.8%"
"23","Buffalo Bills (BUF)","1","0","1","1","0","0","0","1","3.0","3.0","55.2%"
